,Player,PTS,AST,TRB,STL,BLK,PTS/G,AST/G,TRB/G,STL/G,BLK/G,Championships,new Championship Difficulty,Championship Difficulty,MVP,DPOY,FMVP,All NBA Teams,Rankings,Color,Emoji
0,Allen Iverson,0.8451791023,0.57669943,-0.9736043031,1.398629674,-0.6205800327,1.114629081,0.6963604782,-1.081612944,1.660099201,-0.6493966252,-0.8801493835,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,0.5047630226,-26.39298016,blue,7️⃣6️⃣
1,Anthony Davis,-0.7358152452,-1.057909569,-0.3346869773,-0.1845178131,0.8858508198,0.7502028732,-0.8909357752,0.5306391434,0.5872782511,2.173405098,-0.4540898093,-0.2017942102,-0.2406213298,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-39.23816965,purple,🎥
2,Bill Russell,-0.9153375889,-0.2157176,2.77824146,-1.235584904,-0.8282474752,-1.052105588,-0.08651457588,3.388213471,-1.347072267,-0.8787708218,3.806505932,-0.5951675648,-0.2385301012,3.130093964,-0.250872603,-0.4569367667,1.232004534,86.59278811,green,🍀
3,Bill Sharman,-1.168084361,-0.8790516213,-1.194313525,-1.235584904,-0.8282474752,-0.4999962356,-0.6406466604,-1.005658331,-1.347072267,-0.8787708218,0.8240889132,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-60.24688789,green,🍀
4,Bill Walton,-2.045960871,-1.048618247,-0.7448769645,-0.7832570507,0.3324451489,-1.415745536,-0.4524200776,0.5578447127,-0.1731045629,2.035897533,-0.02803023514,-0.5951675648,-1.483408582,0.1188643278,-0.250872603,0.4569367667,-0.4042888664,-54.46822141,red,🛣️
5,Billy Cunningham,-1.037287566,-0.7051711675,-0.3830066826,-1.098696212,-0.7777337729,0.1104843494,-0.1902193546,0.4702197786,-1.092835418,-0.7879993817,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-88.01827061,blue,🔔
6,Bob Cousy,-0.5835138786,0.731665407,-0.7737843865,-1.235584904,-0.8282474752,-0.3904950342,1.304426468,-0.7088059894,-1.347072267,-0.8787708218,1.676208062,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,1.413814912,22.91869765,green,🍀
7,Bob McAdoo,0.1432862088,-0.7950978907,0.2337553199,-0.1416657007,0.6602229499,0.4064674398,-0.8963245005,0.3305338871,-0.01835090433,0.8705037542,-0.02803023514,0.2398052046,-0.1644408612,0.1188643278,-0.250872603,-0.4569367667,-0.4042888664,-3.990099851,purple,🎥
8,Bob Pettit,-0.04998272827,-0.7901203968,0.9275334464,-1.235584904,-0.8282474752,1.227392135,-0.6252595887,1.911003832,-1.347072267,-0.8787708218,-0.4540898093,-0.5951675648,-0.2385301012,0.8716717369,-0.250872603,-0.4569367667,1.232004534,-48.37276548,red,🦅
9,Carmelo Anthony,1.226544991,-0.3673652477,-0.01776035134,0.3011394612,-0.0537040413,0.4735395886,-0.7385949875,-0.4526370036,0.04901716975,-0.1979510753,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-34.84932737,orange,🗽
10,Charles Barkley,0.3415910267,-0.1775568133,0.8635995132,0.7260895762,0.1685562484,0.374291531,-0.2266029856,0.8361552034,0.8735561418,0.2129904988,-0.8801493835,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,1.232004534,-12.43650421,orange,☀️
11,Chris Paul,0.06910904636,2.240177894,-0.6322013199,1.791440705,-0.6104772923,-0.4783482021,2.13255353,-0.871205373,1.681556754,-0.6679577661,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-22.63774932,black,⛵
12,Clyde Drexler,0.3539765713,0.5763675971,-0.2734960841,1.553373413,0.02936293567,0.04753039975,0.4772117228,-0.476436744,1.568236554,-0.01140622699,-0.4540898093,1.327255584,4.590116619,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,1.43847694,darkred,🛣️
13,Damian Lillard,-0.2546844757,0.1327069735,-1.097252108,-0.364258618,-0.5599635901,0.9915819382,0.9513030866,-0.9340420618,0.02919616164,-0.4687687784,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-70.94762395,red,🛣️
14,Dave Bing,-0.3974585004,0.2146697065,-1.062014594,-0.6606523957,-0.7283425975,0.0106615865,0.6505279823,-1.037086941,-0.5720025909,-0.7484602424,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-77.37504983,midnightblue,🔧
15,Dave Cowens,-1.052259104,-0.6105987832,0.4200710394,-0.5225733667,-0.2804544379,-0.5339413792,-0.2816032805,1.296838316,-0.2164528001,-0.03833314721,-0.02803023514,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,-0.2224784886,-48.50736573,green,🍀
16,Dave DeBusschere,-0.8102646175,-0.6842656931,0.4331532303,-1.155832362,-0.7844689332,-0.849672076,-0.6953115392,0.6831173374,-1.245210151,-0.8246706617,-0.02803023514,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-67.89081723,orange,🗽
17,David Robinson,-0.06223216794,-0.7662284261,0.4312542026,0.4166020975,2.487696443,0.1567397172,-0.8456346216,0.5853686954,0.6861774454,3.069507855,-0.02803023514,0.6866054691,0.5413487741,0.1188643278,2.926847035,-0.4569367667,1.050194156,108.6108641,gray, 🌵
18,Dennis Rodman,-1.982263785,-1.045299918,0.73868569,-0.5082893293,-0.2321857891,-2.616540168,-1.150596431,1.175234813,-0.3773636846,-0.1098340958,1.250148487,1.37500884,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-18.20708914,red,🐂
19,Dirk Nowitzki,1.403617447,-0.3647105842,0.6405692578,0.2047222082,0.6097092477,0.09048695653,-0.8772580509,-0.1468414176,-0.1976248095,0.2315511586,-0.4540898093,0.6705301157,2.515319151,0.1188643278,-0.250872603,0.4569367667,1.413814912,41.85763017,blue,🐴
20,Dolph Schayes,-0.3823508581,-0.556841849,0.5914055402,-1.235584904,-0.8282474752,-0.3587642155,-0.5856202393,0.743344044,-1.347072267,-0.8787708218,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-73.04450512,blue,7️⃣6️⃣
21,Dominique Wilkins,0.9995220422,-0.6318360906,-0.1694715658,0.5142096869,-0.07390952218,0.9327329676,-0.8431062682,-0.35674661,0.5043004218,-0.1065493999,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-42.42007621,red,🦅
22,Dwyane Wade,0.3651371719,0.3915366567,-0.6893831545,0.7653706792,0.2179474239,0.2139473312,0.3526911313,-0.8400895739,0.8210337113,0.218022405,0.398029339,1.686114209,0.9190146918,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,25.96302848,red,🔥
23,Earl Monroe,-0.4143355062,-0.3365047854,-1.172580207,-0.6725557603,-0.6924217425,-0.3802968582,-0.2907084662,-1.242891793,-0.6555864843,-0.7173708187,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-72.82835859,orange,🗽
24,Elgin Baylor,0.2588392564,-0.3650424172,0.6350831777,-1.235584904,-0.8282474752,1.429257439,-0.06231115311,1.276717527,-1.347072267,-0.8787708218,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-60.33127373,purple,🎥
25,Elvin Hayes,0.8255799988,-0.7804972419,1.65127401,-0.2071342058,1.159747338,0.1360929928,-1.11483658,1.026173911,-0.3883612174,0.9142635114,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,1.861093024,red,🧙‍♂️
26,Gary Payton,0.2993985123,1.618986654,-0.6013948702,1.833102481,-0.4858768269,-0.7510272297,0.9972226381,-0.9981984314,1.287104283,-0.5944177923,-0.4540898093,0.6076471155,2.316652439,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-2.619618493,darkgreen,⏩
27,George Gervin,-0.07339276854,-0.8415545005,-1.022557018,-0.1154782986,-0.07615457561,1.190197369,-0.7070149148,-0.8557878013,0.3729400069,0.2386397587,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-69.12956804,gray,🌵
28,George Mikan,-1.740677613,-1.235440185,-0.9043952929,-1.235584904,-0.8282474752,0.4098255104,-0.7449739841,0.6706406329,-1.347072267,-0.8787708218,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-123.8591729,purple,🎥
29,Giannis Antetokounmpo,-0.6760652006,-0.4549691404,-0.3296229034,-0.2642703557,0.189884256,0.4756702935,0.1015466302,0.3360242435,0.2938185119,0.7853806627,-0.4540898093,0.1466627156,0.8602611278,0.8716717369,2.926847035,0.4569367667,0.5047630226,26.75410759,darkgreen,🦌
30,Hakeem Olajuwon,0.7756295059,-0.56148751,1.117225215,1.337922515,3.471029846,0.298539962,-0.8469270124,0.6968023916,1.17788162,3.202473453,-0.02803023514,2.607610204,3.575870772,0.1188643278,6.104566673,1.3708103,1.413814912,241.8172059,red,🚀
31,Hal Greer,0.04610732074,-0.06971111203,-0.5883126793,-1.235584904,-0.8282474752,-0.2119358494,-0.1763571383,-0.7397949116,-1.347072267,-0.8787708218,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-65.20926248,blue,7️⃣6️⃣
32,Isiah Thomas,-0.3300865822,1.430505551,-1.049776415,0.9796312414,-0.5487383229,-0.2145860388,2.039692361,-1.094773398,1.401341324,-0.5432410084,-0.02803023514,0.7788023491,0.6869879052,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-8.818883677,midnightblue,🔧
33,James Harden,0.8112889858,1.130196752,-0.4129691199,0.7332315949,-0.1423836518,0.8577364794,1.230962699,-0.5480008127,0.8092931848,-0.151955416,-0.8801493835,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,0.5047630226,-7.167777028,red,🚀
34,James Worthy,-0.6706210052,-0.6500869016,-0.7902426267,0.003555347048,-0.1277908045,-0.5381268842,-0.6155270145,-0.7314415536,0.2783198492,0.01020113906,0.398029339,0.2667550618,-0.5757158092,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-29.50940046,purple,🎥
35,Jason Kidd,-0.3069487517,2.868005792,0.2364983599,2.268765624,-0.2714742241,-1.584289567,1.835988915,-0.449225205,1.442269168,-0.4499838287,-0.4540898093,0.6705301157,2.515319151,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,19.25137055,blue,🐴
36,Jerry Lucas,-0.841704846,-0.611594282,1.147820662,-1.202255483,-0.801306834,-0.702327755,-0.5175171212,1.740703037,-1.301889957,-0.8434347969,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-77.13386269,orange,🗽
37,Jerry West,0.5369015371,0.4937411982,-0.6514026002,-1.139167651,-0.8024293607,1.362017763,0.9496541131,-0.5717271486,-1.221415028,-0.8462151708,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-48.58347506,purple,🎥
38,John Havlicek,0.7006357141,0.4525939153,-0.09414346625,-0.6689847509,-0.6969118494,0.1001011029,0.1502963604,-0.4419175063,-0.805169164,-0.7572371551,2.52832721,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,50.50298688,green,🍀
39,John Stockton,-0.2090893392,3.668718645,-0.9288716502,2.650863626,-0.4746515597,-1.450936225,2.573153143,-1.298573393,1.791656266,-0.6024731804,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,0.8267924386,darkblue,🎷
40,Julius Erving,-0.3924226196,-0.5064032441,-0.6018168764,0.5594424723,0.6231795683,0.3390961326,-0.257139723,-0.3482072612,1.260963062,1.16158874,-0.4540898093,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,1.413814912,-10.57424884,orange,🗽
41,Kareem Abdul-Jabbar,2.332805498,0.3019417663,1.896248586,0.1452053854,2.751490221,0.8725316248,-0.3542449214,0.7144702715,-0.2719650011,1.818002113,1.676208062,1.128677688,-0.5757158092,3.882901374,-0.250872603,1.3708103,1.959246045,211.2517735,purple,🎥
42,Karl Malone,2.134228471,0.1652266004,1.374648973,1.246266608,0.4570456144,0.9557463549,-0.385151915,0.4681024338,0.6953150643,0.1446013172,-0.8801493835,-0.5951675648,-0.2385301012,0.8716717369,-0.250872603,-0.4569367667,1.777435667,38.170294,darkblue,🎷
43,Kawhi Leonard,-1.214496127,-0.9537140299,-0.9339357241,0.05473981468,-0.3848494224,-0.1340895797,-0.6269189486,-0.4163699438,1.148602825,-0.04901193593,-0.02803023514,0.9721793947,0.9924566468,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-56.24933537,black,⛵
44,Kevin Durant,0.9541991154,-0.08232076326,-0.2492307299,0.06069149696,0.4873538357,1.427720438,-0.04369484273,-0.2675694357,0.1771417962,0.6179532733,-0.02803023514,-0.1048692851,-0.7089071513,0.1188643278,-0.250872603,1.3708103,1.050194156,43.20528352,purple,☀️
45,Kevin Garnett,0.7004996092,0.2561488224,1.375703988,1.032006046,1.477422399,-0.5650227326,-0.3409835765,0.4162804083,0.4781852527,0.9168955915,-0.4540898093,-0.5937491512,-1.478927378,0.1188643278,2.926847035,-0.4569367667,0.8683837782,93.08718909,green,🍀
46,Kevin McHale,-0.5324745466,-1.022071613,-0.2808811919,-0.8261091632,1.068822674,-0.4919580448,-1.166096955,-0.1975858858,-0.8348509851,1.417282316,0.8240889132,0.2643910393,-0.8045061707,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,8.059722389,green,🍀
47,Kobe Bryant,1.687123923,0.5163058373,-0.2967064229,1.078429167,-0.1098303771,0.9508634393,0.0953395916,-0.6955551687,0.7411157863,-0.2515082503,1.250148487,4.1054549,1.486733452,0.1188643278,-0.250872603,1.3708103,1.959246045,134.2187333,purple,🎥
48,Larry Bird,0.07400882223,0.3135559188,0.109896512,0.6165786222,0.01926019523,0.8091281578,0.8032259419,0.4357309908,1.160974069,0.231602372,0.8240889132,0.2643910393,-0.8045061707,1.624479146,-0.250872603,1.3708103,1.050194156,58.83658204,green,🍀
49,LeBron James,2.368873293,1.881466499,0.4673357293,1.36649059,0.3762236908,1.39646576,1.221812163,-0.1566222239,0.8771310587,0.1173685464,0.8240889132,1.943319864,0.5215567896,2.377286555,-0.250872603,3.198557367,2.686487556,180.0636938,purple,🎥
50,Lenny Wilkens,-0.4729967117,0.8166146363,-0.722299635,-1.028466361,-0.7990617805,-0.7649513228,0.9506399426,-0.8296153686,-1.113483502,-0.8469235595,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-71.38742366,red,🦅
51,Magic Johnson,-0.4818435293,1.788885113,-0.3996759259,0.8165551469,-0.4084224835,-0.1502618113,2.864079735,-0.2201672978,1.404161353,-0.3341956156,1.250148487,0.8413701462,-0.5757158092,1.624479146,-0.250872603,2.284683834,1.050194156,86.92504356,purple,🎥
52,Michael Jordan,1.503246223,0.2929822773,-0.3758325779,1.756920948,0.174168882,1.986875623,0.3376925212,-0.4610952183,2.043624047,0.2201619721,1.676208062,0.8260828003,-0.7350475082,3.130093964,2.926847035,5.026304434,1.232004534,204.7138848,red,🐂
53,Moses Malone,0.9860476585,-0.9507275335,1.863332106,0.1404440396,1.320268659,-0.0192291776,-1.329436784,0.9682904749,-0.1625336425,0.9107196065,-0.4540898093,-0.5951675648,-0.2385301012,1.624479146,-0.250872603,0.4569367667,0.6865734004,34.46785604,blue,7️⃣6️⃣
54,Nate Thurmond,-0.8798142139,-0.6905705187,1.355869699,-1.060605445,-0.09748258321,-1.232470307,-0.8080825596,1.449798711,-1.143101456,-0.05458008394,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-72.32783234,gold,🌉⚔️
55,Oscar Robertson,0.7435087529,1.704599549,-0.1369770915,-1.143928997,-0.8237573683,1.08982968,2.146630828,-0.1574626939,-1.240024949,-0.8736969311,-0.4540898093,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,1.232004534,-4.55442196,darkgreen,🦌
56,Patrick Ewing,-2.891444418,-1.575568935,-1.783223121,-1.235584904,-0.8271249484,-4.011938692,-1.77622635,-1.869742832,-1.347072267,-0.6903120224,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-150.5886822,orange,🗽
57,Patrick Ewing,0.4855899953,-0.8412226676,0.6654676212,0.1166373104,2.42034484,0.1390635246,-1.1012272,0.3899564176,0.04131938219,2.348446725,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,11.27333754,orange,🗽
58,Paul Arizin,-0.677970669,-1.023730778,-0.4904072502,-1.235584904,-0.8282474752,0.5101960792,-0.9043210712,0.10163457,-1.347072267,-0.8787708218,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-89.89120016,darkblue,7️⃣6️⃣
59,Paul Pierce,0.7009079239,-0.01396318028,-0.1954249446,0.8498845677,0.008034928071,-0.1278178285,-0.4064108799,-0.6079966025,0.539078894,-0.1469669209,-0.4540898093,-0.5937491512,-1.478927378,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-21.24084103,green,🍀
60,Pete Maravich,-0.6410862451,-0.3663697489,-1.187561426,-0.5082893293,-0.7002794296,0.6671878643,0.314922483,-0.9815361745,-0.08686610638,-0.6642342713,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-88.90939746,red,🦅
61,Ray Allen,0.6765451494,-0.01827700833,-0.5908447162,0.6141979493,-0.5386355825,-0.2493252266,-0.4461969269,-0.9629553377,0.2857953893,-0.6314186476,-0.02803023514,-0.3091208346,-1.031553842,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-23.43447103,black,🍀🔥
62,Reggie Miller,0.5487426621,-0.20211245,-0.9012302467,0.5558714629,-0.4926119871,-0.4219196899,-0.6294628448,-1.223300131,0.2195080307,-0.5947936676,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-56.65395845,yellow,🏎️
63,Rick Barry,-0.3882033682,-0.2432597329,-0.69318121,0.07854654381,-0.5262877886,0.5817186874,0.2545344687,-0.3935030148,0.6632559898,-0.4318338958,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-60.73184537,gold,🌉⚔️
64,Robert Parish,0.2840186602,-0.85283682,1.321265193,0.2154352363,1.822038101,-1.172464875,-1.322091891,0.2292598024,-0.2530489675,1.054598873,1.250148487,0.4363342804,-0.8316423507,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,69.05181512,green,🍀
65,Russell Westbrook,0.5946100084,1.64686062,-0.0139622959,0.9689182133,-0.4028098499,0.3358219858,1.643062873,-0.2326712639,0.9474302181,-0.4503379214,-0.8801493835,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,0.8683837782,-2.368983859,deepskyblue,⚡
66,Sam Jones,-0.7943403459,-0.8432136652,-0.8752768679,-1.235584904,-0.8282474752,-0.5241340104,-0.8188266929,-0.7650409485,-1.347072267,-0.8787708218,3.380446358,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,24.18274831,green,🍀
67,Scottie Pippen,-0.3140262057,0.4595624067,-0.2023880462,1.510521301,0.2347853246,-0.8504640757,0.3178317138,-0.4284184305,1.484454752,0.1817498753,1.676208062,0.8260828003,-0.7350475082,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,54.84275064,red,🐂
68,Shaquille O'Neal,1.113441831,-0.5412457015,1.097179923,-0.3178354962,2.337277863,0.5899399002,-0.8513233213,0.6167034186,-0.4679413963,2.055122475,0.8240889132,3.560311297,1.798699939,0.1188643278,-0.250872603,2.284683834,1.777435667,161.0937387,purple,🎥
69,Stephen Curry,0.06325653629,0.3281565676,-0.901863256,0.4546928641,-0.595884445,0.8744970029,0.870384408,-0.8135521707,0.9806875417,-0.5691599371,0.8240889132,0.8483046124,-0.3433155889,0.8716717369,-0.250872603,0.4569367667,0.8683837782,30.60912591,gold,🌉⚔️
70,Steve Nash,-0.5253970926,1.853260701,-1.01517191,-0.1654724298,-0.7137497501,-1.212343199,1.715020802,-1.227616186,-0.2790322633,-0.7682041967,-0.8801493835,-0.5951675648,-0.2385301012,0.8716717369,-0.250872603,-0.4569367667,0.5047630226,-37.4079881,orange,☀️
71,Tim Duncan,0.7143823075,-0.1742384841,1.400602351,-0.01549003626,2.561783206,-0.2532234146,-0.6065240404,0.6342304786,-0.2824316369,1.983311807,1.250148487,2.100763767,0.2200464449,0.8716717369,-0.250872603,2.284683834,1.959246045,172.9307453,gray,🌵
72,Walt Frazier,-0.7712025154,0.09620535153,-0.764500251,-0.4249657773,-0.7575282921,-0.2832072516,0.7011875912,-0.5487086397,-0.1536020946,-0.7780310272,-0.02803023514,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-57.25823849,orange,🗽
73,Wes Unseld,-1.445874432,-0.3079671537,1.12165628,-0.4880536095,-0.4162801705,-1.917388048,-0.2453609575,1.381862793,-0.4243246094,-0.3867477978,-0.4540898093,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,0.4569367667,-0.5860992442,-56.86649898,darkred,🧙‍♂️
74,Willis Reed,-1.233686916,-1.18267875,-0.008265212747,-1.221300867,-0.8046744141,-0.3120924238,-1.121538309,1.133192736,-1.320379949,-0.8361501395,-0.02803023514,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,1.3708103,0.141142267,-56.63712235,orange,🗽
75,Wilt Chamberlain,1.729316437,0.04742591124,3.617400708,-1.235584904,-0.8282474752,2.036627491,-0.0358732908,3.493698691,-1.347072267,-0.8787708218,-0.02803023514,-0.5951675648,-0.2385301012,2.377286555,-0.250872603,0.4569367667,1.050194156,25.93728653,blue,7️⃣6️⃣